Tipo;Facultad;Programa;Mujeres20181;Hombres20181;MujeresPor20181;HombresPor20181;Mujeres20182;Hombres20182;MujeresPor20182;HombresPor20182
Pregrado;Administracion;Administracion;428;561;43%;57%;447;572;44%;56%
Pregrado;Administracion;Contaduria internacional ;38;50;43%;57%;44;56;44%;56%
Pregrado;Arquitectura y Diseno ;Arquitectura ;358;357;50%;50%;341;340;50%;50%
Pregrado;Arquitectura y Diseno ;Diseno ;567;194;75%;25%;573;192;75%;25%
Pregrado;Artes y Humanidades ;Arte ;182;98;65%;35%;172;95;64%;36%
Pregrado;Artes y Humanidades ;Historia del Arte ;58;23;72%;28%;54;18;75%;25%
Pregrado;Artes y Humanidades ;Literatura ;136;74;65%;35%;137;65;68%;32%
Pregrado;Artes y Humanidades ;Musica ;55;150;27%;73%;64;146;30%;70%
Pregrado;Ciencias ;Biologia ;129;102;56%;44%;135;95;59%;41%
Pregrado;Ciencias ;Fisica ;50;158;24%;76%;54;156;26%;74%
Pregrado;Ciencias ;Geociencias ;82;146;36%;64%;82;134;38%;62%
Pregrado;Ciencias ;Matematicas ;20;70;22%;78%;24;73;25%;75%
Pregrado;Ciencias ;Microbiologia ;129;52;71%;29%;117;51;70%;30%
Pregrado;Ciencias ;Quimica ;36;59;38%;62%;34;55;38%;62%
Pregrado;Ciencias Sociales ;AntropologiA;108;62;64%;36%;112;63;64%;36%
Pregrado;Ciencias Sociales ;Ciencia Politica ;268;198;58%;42%;264;181;59%;41%
Pregrado;Ciencias Sociales ;Filosofia ;29;50;37%;63%;23;54;30%;70%
Pregrado;Ciencias Sociales ;Historia ;35;47;43%;57%;32;40;44%;56%
Pregrado;Ciencias Sociales ;Lenguajes y Est. Soc. ;25;9;74%;26%;19;5;79%;21%
Pregrado;Ciencias Sociales ;Lenguas y Cultura ;126;38;77%;23%;127;37;77%;23%
Pregrado;Ciencias Sociales ;Psicologia ;375;128;75%;25%;374;128;75%;25%
Pregrado;Derecho ;Derecho ;520;487;52%;48%;523;490;52%;48%
Pregrado;Economia ;Economia ;294;594;33%;67%;305;598;34%;66%
Pregrado;Educacion;Lic. en Arte ;3;3;50%;50%;3;3;50%;50%
Pregrado;Educacion;Lic. en Ciencias Naturales ;0;4;0%;100%;0;3;0%;100%
Pregrado;Educacion;Lic. en Ciencias Sociales ;0;2;0%;100%;0;3;0%;100%
Pregrado;Educacion;Lic. en Primera Infancia ;2;0;100%;0%;2;0;100%;0%
Pregrado;Educacion;Lic. En Educacio_n Infantil ;0;0;0%;0%;1;0;100%;0%
Pregrado;Educacion;Lic. en Humanidades ;0;1;0%;100%;0;1;0%;100%
Pregrado;Educacion;Lic. en Matema_ticas ;3;0;100%;0%;2;1;67%;33%
Pregrado;Escuela de Gobierno ;Gobierno y Asuntos Publicos ;130;103;56%;44%;137;115;54%;46%
Pregrado;Est. Intercambio ;Est. Intercambio ;89;69;56%;44%;105;75;58%;42%
Pregrado;Estudios Dirigidos ;Estudios Dirigidos ;63;66;49%;51%;61;63;49%;51%
Pregrado;Ingenieria ;Ingenieria Ambiental ;232;144;62%;38%;219;138;61%;39%
Pregrado;Ingenieria ;Ingenieria Biomedica;212;217;49%;51%;228;218;51%;49%
Pregrado;Ingenieria ;Ingenieria Civil ;211;584;27%;73%;215;587;27%;73%
Pregrado;Ingenieria ;Ingenieria Electrica;27;95;22%;78%;28;92;23%;77%
Pregrado;Ingenieria ;Ingenieria Electronica;61;298;17%;83%;62;308;17%;83%
Pregrado;Ingenieria ;Ingenieria Industrial ;555;949;37%;63%;559;949;37%;63%
Pregrado;Ingenieria ;Ingenieria Mecanica;91;604;13%;87%;97;590;14%;86%
Pregrado;Ingenieria ;Ingenieria Quimica  ;330;323;51%;49%;297;303;50%;51%
Pregrado;Ingenieria ;Ingenieria de Sistemas ;85;522;14%;86%;85;542;14%;86%
Pregrado;Medicina ;Medicina ;438;332;57%;43%;460;331;58%;42%
Maestria;Administracion;MBA Ejecutivo;9;40;18%;82%;2;20;9%;91%
Maestria;Administracion;MBA Profesional;0;1;0%;100%;0;0;0%;0%
Maestria;Administracion;MBA Tiempo Completo ;18;12;60%;40%;19;21;48%;53%
Maestria;Administracion;MBA Tiempo Parcial ;51;123;29%;71%;63;119;35%;65%
Maestria;Administracion;Finanzas ;38;73;34%;66%;71;144;33%;67%
Maestria;Administracion;Gerencia Ambiental ;33;27;55%;45%;29;21;58%;42%
Maestria;Administracion;Gerencia y Practica del Desarrollo ;33;23;59%;41%;30;25;55%;45%
Maestria;Administracion;Gestion de la cadena de suministro ;0;0;0%;0%;15;11;58%;42%
Maestria;Administracion;Internacional en Finanzas ;0;0;0%;0%;1;2;33%;67%
Maestria;Administracion;Investigacion en administracion;0;8;0%;100%;0;8;100%;100%
Maestria;Administracion;Mercadeo;21;30;41%;59%;46;40;53%;47%
